,DATE,Canadian,Cleveland,Garfield,Grady,Oklahoma,Payne,Pottawatomie
0,2016-07-01,64.0,62.0,59.0,77.0,58.0,58.0,58.0
1,2016-08-01,67.5,62.0,60.5,78.5,56.5,67.0,67.5
2,2016-09-01,68.5,63.5,65.0,77.5,58.5,79.5,68.5
3,2016-10-01,70.0,65.0,70.0,73.0,66.0,80.0,71.0
4,2016-11-01,73.0,67.0,82.0,77.5,65.0,72.0,81.5
5,2016-12-01,84.0,72.0,96.0,86.0,71.0,75.0,90.0
6,2017-01-01,91.5,75.5,95.0,100.0,74.0,80.0,86.0
7,2017-02-01,86.0,73.0,82.0,102.5,65.5,82.0,81.5
8,2017-03-01,68.0,60.5,67.5,76.5,53.0,50.0,75.5
9,2017-04-01,62.0,57.0,71.0,60.0,54.0,51.0,60.0
10,2017-05-01,61.0,58.5,64.5,66.0,52.0,60.0,53.5
11,2017-06-01,60.0,59.0,65.5,71.5,52.5,53.5,59.5
12,2017-07-01,59.0,56.0,68.0,59.0,55.0,61.0,66.0
13,2017-08-01,59.0,57.5,65.5,60.0,56.5,70.0,71.5
14,2017-09-01,60.0,66.0,73.0,69.0,59.0,81.0,65.0
15,2017-10-01,63.0,70.5,87.0,70.0,60.5,92.0,70.5
16,2017-11-01,68.5,71.5,101.5,81.5,64.5,94.0,75.0
17,2017-12-01,78.0,78.0,109.0,92.0,71.0,92.0,86.0
18,2018-01-01,77.5,78.5,113.5,98.0,72.0,73.0,89.0
19,2018-02-01,72.5,77.0,104.0,101.5,66.5,66.0,88.5
20,2018-03-01,62.0,66.0,90.0,102.0,57.0,69.0,84.0
21,2018-04-01,53.0,55.5,76.5,66.5,48.5,62.0,58.5
22,2018-05-01,45.5,47.5,71.5,54.0,50.0,61.0,63.5
23,2018-06-01,44.0,50.0,64.0,57.0,50.0,51.0,59.0
24,2018-07-01,50.0,54.5,53.0,63.5,52.5,49.5,64.5
25,2018-08-01,59.0,57.5,64.0,61.5,55.5,55.0,60.0
26,2018-09-01,64.0,58.0,82.0,63.0,57.0,67.0,64.0
27,2018-10-01,63.5,64.5,89.0,72.0,57.5,76.5,68.0
28,2018-11-01,61.0,65.0,95.5,74.5,59.0,71.0,71.5
29,2018-12-01,73.0,80.0,104.0,93.0,67.0,75.0,84.0
30,2019-01-01,73.0,81.0,105.5,95.0,73.0,75.0,93.5
31,2019-02-01,66.0,69.0,98.0,88.5,65.5,65.0,90.0
32,2019-03-01,57.0,51.0,86.0,59.0,50.0,55.0,77.0
33,2019-04-01,47.0,43.5,68.0,63.5,43.5,58.0,63.5
34,2019-05-01,42.0,42.0,67.0,75.5,42.5,64.0,61.0
35,2019-06-01,43.0,43.0,65.0,64.0,44.0,53.0,60.0
36,2019-07-01,43.5,46.5,72.5,68.0,45.5,53.0,54.5
37,2019-08-01,49.0,53.0,70.0,65.0,49.0,57.0,56.0
38,2019-09-01,45.0,55.0,71.0,63.5,50.0,61.5,53.0
39,2019-10-01,49.5,55.5,70.0,66.5,52.5,70.5,55.5
40,2019-11-01,49.0,56.0,72.0,67.0,56.0,80.0,58.0
41,2019-12-01,52.5,67.5,83.0,69.5,63.0,89.5,70.0
42,2020-01-01,51.0,70.0,84.5,79.0,64.0,85.5,73.0
43,2020-02-01,44.0,45.0,87.0,80.0,53.0,67.0,59.0
44,2020-03-01,40.5,40.5,85.5,65.5,40.0,48.5,51.0
45,2020-04-01,40.0,41.0,85.0,68.0,43.5,61.5,67.5
46,2020-05-01,42.0,49.0,95.0,66.0,49.0,70.0,76.0
47,2020-06-01,38.0,40.0,84.0,65.5,50.0,69.0,79.5
48,2020-07-01,43.0,44.5,71.5,65.5,47.5,63.0,48.0
49,2020-08-01,46.0,49.0,63.0,63.0,52.0,62.0,46.0
