,DATE,Creek,Muskogee,Osage,Rogers,Tulsa,Wagoner,Washington
0,2016-07-01,66.0,69.0,62.0,53.0,56.0,66.0,64.0
1,2016-08-01,60.0,64.0,54.0,60.5,59.5,59.5,68.0
2,2016-09-01,59.0,63.5,63.0,62.5,59.0,52.0,67.0
3,2016-10-01,65.0,66.0,78.0,73.0,58.0,57.0,74.0
4,2016-11-01,59.0,64.5,72.5,76.0,60.5,63.5,67.5
5,2016-12-01,65.0,71.0,71.0,80.0,67.0,74.0,68.0
6,2017-01-01,74.5,65.0,71.5,73.0,67.5,65.5,72.0
7,2017-02-01,72.0,68.5,69.0,59.0,61.0,57.5,69.0
8,2017-03-01,63.0,59.5,49.5,55.0,52.0,51.5,56.5
9,2017-04-01,66.0,58.0,45.0,53.0,50.0,47.0,57.0
10,2017-05-01,50.0,58.5,59.5,53.0,52.0,43.5,57.0
11,2017-06-01,51.0,60.0,65.5,54.0,52.5,49.0,58.0
12,2017-07-01,57.0,62.0,65.0,52.0,53.0,53.0,58.0
13,2017-08-01,61.5,61.0,56.5,52.0,57.5,55.0,64.0
14,2017-09-01,66.0,66.0,61.0,60.0,60.0,62.0,64.0
15,2017-10-01,68.0,66.5,68.5,66.0,61.0,64.5,73.0
16,2017-11-01,66.0,69.0,68.0,70.5,61.5,64.0,71.0
17,2017-12-01,64.0,81.0,75.0,65.0,65.0,60.0,72.0
18,2018-01-01,64.0,75.0,73.0,61.0,71.0,61.5,72.0
19,2018-02-01,63.5,54.5,57.0,58.5,65.5,60.5,68.5
20,2018-03-01,60.0,46.0,48.0,56.0,50.0,61.0,62.0
21,2018-04-01,53.5,52.5,40.5,51.0,47.0,63.0,53.5
22,2018-05-01,58.5,58.0,44.0,53.0,45.5,54.0,53.5
23,2018-06-01,59.0,52.0,48.0,64.0,50.0,46.0,58.0
24,2018-07-01,48.0,56.5,53.0,64.0,58.0,51.0,59.5
25,2018-08-01,49.0,56.5,48.0,46.0,59.0,55.5,60.0
26,2018-09-01,59.0,58.0,65.0,56.0,60.0,57.0,63.0
27,2018-10-01,70.0,65.0,71.0,64.0,64.0,64.0,68.0
28,2018-11-01,71.0,70.5,58.5,60.5,64.0,67.0,70.0
29,2018-12-01,78.0,78.0,72.0,74.0,67.0,71.0,78.0
30,2019-01-01,67.5,70.0,84.0,75.5,70.0,71.5,74.0
31,2019-02-01,52.0,66.0,75.0,55.0,55.5,63.5,62.0
32,2019-03-01,50.0,56.0,62.0,51.0,53.0,58.0,58.0
33,2019-04-01,51.0,54.5,47.5,48.5,51.5,45.0,45.5
34,2019-05-01,49.5,48.5,61.5,45.0,50.5,44.5,45.5
35,2019-06-01,47.0,60.0,63.0,49.0,53.0,49.0,52.0
36,2019-07-01,55.0,65.5,58.0,53.0,56.5,54.5,60.0
37,2019-08-01,56.0,58.0,57.0,56.0,55.0,59.0,67.0
38,2019-09-01,54.5,55.5,55.0,55.0,57.5,58.0,67.5
39,2019-10-01,58.5,61.0,63.0,63.0,59.5,53.5,61.5
40,2019-11-01,51.0,61.0,70.0,59.0,58.0,49.0,56.0
41,2019-12-01,58.5,72.0,71.5,64.5,63.5,55.0,57.0
42,2020-01-01,68.5,78.5,77.5,66.0,67.0,48.5,59.5
43,2020-02-01,60.0,74.0,63.0,68.0,60.0,63.0,59.0
44,2020-03-01,48.0,44.5,58.0,45.5,49.5,60.0,58.0
45,2020-04-01,51.5,54.0,51.5,46.5,52.0,62.5,52.5
46,2020-05-01,59.0,65.0,50.0,58.0,52.0,63.0,56.0
47,2020-06-01,64.5,51.5,50.0,67.5,50.5,65.0,56.5
48,2020-07-01,56.5,42.0,49.0,45.5,52.0,63.0,54.5
49,2020-08-01,46.0,45.0,59.0,46.0,51.0,49.0,56.0
